timestamp,trial,trial_phase,gaze_x,gaze_y,left_iris_radius,right_iris_radius,head_pose,blink_state,target_x,target_y,used_in_model
1783011676021,4,figure8,,,0.0,0.0,"[-0.02669515007157408, 0.09687974759245144, -0.1571200167260173]",0,168.9063815524878,166.23696888885814,False
1783011676051,4,figure8,,,0.0,0.0,"[-0.021122671351577305, 0.09347957155799558, -0.15867134565954052]",0,174.1047105585431,165.83065329487385,False
1783011676053,4,figure8,,,0.0,0.0,"[-0.021122671351577305, 0.09347957155799558, -0.15867134565954052]",0,174.56955991652578,165.81131860348495,False
1783011676070,4,figure8,,,0.0,0.0,"[-0.021122671351577305, 0.09347957155799558, -0.15867134565954052]",0,177.69592265031616,165.75003131953906,False
1783011676108,4,figure8,,,0.0,0.0,"[-0.017892789390186126, 0.09094011397905732, -0.15556678897358303]",0,184.7056045897173,166.02220257988455,False
1783011676118,4,figure8,,,0.0,0.0,"[-0.017892789390186126, 0.09094011397905732, -0.15556678897358303]",0,186.5900189442969,166.18573831394224,False
1783011676134,4,figure8,,,0.0,0.0,"[-0.017892789390186126, 0.09094011397905732, -0.15556678897358303]",0,189.65362132439734,166.52825513173508,False
1783011676170,4,figure8,,,0.0,0.0,"[-0.006283995142236765, 0.09593101215519095, -0.15866311222363855]",0,196.755050636848,167.66550428731932,False
1783011676182,4,figure8,,,0.0,0.0,"[-0.006283995142236765, 0.09593101215519095, -0.15866311222363855]",0,199.07054675485557,168.13376217930238,False
1783011676219,4,figure8,,,0.0,0.0,"[-0.007103881348617502, 0.0937158303390142, -0.15712186625900135]",0,206.77337533925152,170.0091287082672,False
1783011676229,4,figure8,,,0.0,0.0,"[-0.007103881348617502, 0.0937158303390142, -0.15712186625900135]",0,208.92879644323472,170.61652506555717,False
1783011676246,4,figure8,,,0.0,0.0,"[-0.007103881348617502, 0.0937158303390142, -0.15712186625900135]",0,212.5225749976004,171.70477130730023,False
1783011676262,4,figure8,,,0.0,0.0,"[-0.007103881348617502, 0.0937158303390142, -0.15712186625900135]",0,215.85931522432077,172.796330378905,False
1783011676293,4,figure8,,,0.0,0.0,"[-0.008232324773946642, 0.08967264478751047, -0.15712202166670644]",0,222.7287457136821,175.27500422715914,False
1783011676310,4,figure8,,,0.0,0.0,"[-0.008232324773946642, 0.08967264478751047, -0.15712202166670644]",0,226.37236376726,176.7087212769818,False
1783011676326,4,figure8,,,0.0,0.0,"[-0.008232324773946642, 0.08967264478751047, -0.15712202166670644]",0,229.8293418023473,178.14074007628642,False
1783011676351,4,figure8,,,0.0,0.0,"[-0.008222081595340547, 0.09263130044782009, -0.15866253499651034]",0,235.54075194247224,180.65143663624065,False
1783011676358,4,figure8,,,0.0,0.0,"[-0.008222081595340547, 0.09263130044782009, -0.15866253499651034]",0,237.13559310360571,181.38327054408364,False
1783011676373,4,figure8,,,0.0,0.0,"[-0.008222081595340547, 0.09263130044782009, -0.15866253499651034]",0,240.6888678454057,183.0598361920375,False
1783011676407,4,figure8,,,0.0,0.0,"[-0.012709114451925463, 0.09388863696128358, -0.16483847792854775]",0,248.56112893430884,186.98830455086193,False
1783011676422,4,figure8,,,0.0,0.0,"[-0.012709114451925463, 0.09388863696128358, -0.16483847792854775]",0,251.945123200228,188.76194952131658,False
1783011676459,4,figure8,,,0.0,0.0,"[-0.019898834840084312, 0.09571486504195414, -0.15397223106478894]",0,260.91038213009404,193.6864945750675,False
1783011676470,4,figure8,,,0.0,0.0,"[-0.019898834840084312, 0.09571486504195414, -0.15397223106478894]",0,263.5295370717642,195.1829190718749,False
1783011676485,4,figure8,,,0.0,0.0,"[-0.019898834840084312, 0.09571486504195414, -0.15397223106478894]",0,267.15265420947844,197.29302263533276,False
1783011676519,4,figure8,,,0.0,0.0,"[-0.018614103269421534, 0.0965193998186763, -0.17386622844213626]",0,275.3430558185751,202.22310150433495,False
1783011676534,4,figure8,,,0.0,0.0,"[-0.018614103269421534, 0.0965193998186763, -0.17386622844213626]",0,279.2032699753655,204.61783191542992,False
1783011676550,4,figure8,,,0.0,0.0,"[-0.018614103269421534, 0.0965193998186763, -0.17386622844213626]",0,283.033616372613,207.035500376547,False
