Model,Fold,Accuracy,Balanced_Accuracy,Precision,Recall,Specificity,F1_Score,ROC_AUC,PR_AUC,Ablation_Group
Logistic_Regression,2,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.6666666666666666,0.8734126984126984,F_Behavioral_and_RT
Logistic_Regression,3,0.75,0.6666666666666667,0.8333333333333334,0.8333333333333334,0.5,0.8333333333333334,0.8333333333333334,0.9583333333333334,F_Behavioral_and_RT
Logistic_Regression,4,0.75,0.8,1.0,0.6,1.0,0.75,0.6,0.8392857142857143,F_Behavioral_and_RT
Logistic_Regression,5,0.625,0.5,0.625,1.0,0.0,0.7692307692307693,0.6000000000000001,0.7595238095238095,F_Behavioral_and_RT
Random_Forest,1,0.75,0.8333333333333333,1.0,0.6666666666666666,1.0,0.8,1.0,1.0,F_Behavioral_and_RT
Random_Forest,2,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.5,0.7345238095238095,F_Behavioral_and_RT
Random_Forest,3,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.8333333333333333,0.9484126984126984,F_Behavioral_and_RT
Random_Forest,4,0.75,0.8,1.0,0.6,1.0,0.75,0.6,0.8392857142857143,F_Behavioral_and_RT
Random_Forest,5,0.625,0.5666666666666667,0.6666666666666666,0.8,0.3333333333333333,0.7272727272727273,0.5666666666666668,0.6683333333333333,F_Behavioral_and_RT
XGBoost,1,0.75,0.8333333333333333,1.0,0.6666666666666666,1.0,0.8,1.0,1.0,F_Behavioral_and_RT
XGBoost,2,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.5,0.7345238095238095,F_Behavioral_and_RT
XGBoost,3,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.9166666666666667,0.9761904761904762,F_Behavioral_and_RT
XGBoost,4,0.625,0.6333333333333333,0.75,0.6,0.6666666666666666,0.6666666666666666,0.5333333333333334,0.7416666666666667,F_Behavioral_and_RT
XGBoost,5,0.5,0.4,0.5714285714285714,0.8,0.0,0.6666666666666666,0.5333333333333334,0.7783333333333333,F_Behavioral_and_RT
Logistic_Regression,1,0.5,0.5,0.75,0.5,0.5,0.6,0.5833333333333333,0.8773809523809524,G_Behavioral_RT_and_Gaze
Logistic_Regression,2,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.75,0.915079365079365,G_Behavioral_RT_and_Gaze
Logistic_Regression,3,0.875,0.9166666666666667,1.0,0.8333333333333334,1.0,0.9090909090909091,0.8333333333333334,0.9583333333333334,G_Behavioral_RT_and_Gaze
Logistic_Regression,4,0.75,0.8,1.0,0.6,1.0,0.75,0.6,0.8392857142857143,G_Behavioral_RT_and_Gaze
Logistic_Regression,5,0.5,0.4666666666666667,0.6,0.6,0.3333333333333333,0.6,0.5333333333333333,0.7892857142857144,G_Behavioral_RT_and_Gaze
Random_Forest,1,0.875,0.9166666666666667,1.0,0.8333333333333334,1.0,0.9090909090909091,1.0,1.0,G_Behavioral_RT_and_Gaze
Random_Forest,2,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.5,0.7345238095238095,G_Behavioral_RT_and_Gaze
